N,Ст.№,Състезател,Отбор,Мотор,Общо,Кърнаре 29-30/3 Нв,Стзагора 12-13/4 Нв,Бухово 3-4/5 Нв,ГМалина 17-18/5 Нв,Дамасцена 14-15/6 Нв,SDCi 10-11/08 Нв,Кирково 08-09/11 Нв
1,15,Мартин МАРИНОВ,ЕК ЛУДА РАБОТА,KTM 300 EXC,203,18,25,18,22,15,25,25
2,13,Любомир СИНЕВ,СК БУЛДОК РОКЕТС,Gas Gas ec 300,171,15,16,20,13,16,,22
3,134,Красимир БОШНАКОВ,ЕК ЛУДА РАБОТА,KTM300TBi,138,16,13,16,25,18,,20
4,272,Кристиан ПЕТРОВ,МСК ХАРД РАЙДЪРС,KTM 300 EXC,115,22,22,25,0,,,0
5,393,Симеон НЕНКОВ,НК Ендуро ВИКТОРИ,KTM 300 EXC,113,14,15,15,18,10,7,0
6,112,Станислав КИРИЛОВ,СК БУЛДОК РОКЕТС,GAS GAS,109,25,18,22,,,,
7,131,Борис ЧАКЪРОВ,СК УАЙЛД ЕКСТРИЙМ РЕЙСИНГ,Husqvarna TE 300,104,20,20,0,0,22,,
8,189,Красимир ДИМИТРОВ,МСК ХАРД РАЙДЪРС,KTM 300 ТПИ,67,13,0,14,16,14,,
9,171,Георги ПЕТРОВ,МСК ПРЕПАРАТОРИТЕ,Gas Gas Ec 300,57,,0,,20,0,,
10,217,Данаил КОСТАДИНОВ,МСК ХАРД РАЙДЪРС,KTM 300 EXC,49,12,0,0,14,0,0,15
11,19,Любомир ИВАНОВ,АЛБА ДАМАСЦЕНА МСК,Ktm 250,40,,,,,25,,
12,238,Пламен КОВАЧЕВ,АЛБА ДАМАСЦЕНА МСК,Gas Gas ec 300,40,,,,,0,,16
13,915,Байрям КЪРМАДЖИ,СК АФГ ТИМ,Husqvarna 300TBi,33,,0,,0,13,,14
14,255,Димитър ТИНЧЕВ,АЛБА ДАМАСЦЕНА МСК,KTM 300,30,,,,,,,18
15,412,Цветан МИХАЙЛОВ,МСК ПРЕПАРАТОРИТЕ,TE300i,18,,,,15,,,
16,34,Георги ГЕОРГИЕВ,ЕК ЛУДА РАБОТА,Husqvarna tpi300,15,,,,,,,
17,845,Валентин ПЕТКОВ,МОТОЦИКЛЕТЕН КЛУБ БОЛЯРИ,Gas Gas ec300,14,,14,,,,,
18,99,Светослав МАРИНОВ,МСК ЕНДУРО СЕВЛИЕВО,Gas Gas EC300,12,,12,,,,,
19,262,Антоан НИКОЛОВ,СК КЪРТАЧИТЕ,KTM EXC 300,0,,0,,,,,
20,40,Мирослав ХРИСТОВ,АЛБА ДАМАСЦЕНА МСК,Ktm 300,0,,,,,0,0,
