N,Ст.№,Състезател,Отбор,Мотор,Общо,Кърнаре 29-30/3 Нв,Стзагора 12-13/4 Нв,Бухово 3-4/5 Нв,ГМалина 17-18/5 Нв,Дамасцена 14-15/6 Нв,SDCi 10-11/08 Нв,Кирково 08-09/11 Нв
1,30,Илиян КУЗМАНОВ,СК АФГ ТИМ,Honda,222,22,25,22,0,22,25,25
2,125,Десислав ЦЕКОВ,МСК ХАРД РАЙДЪРС,Husqvarna TE300,173,25,18,25,0,14,22,22
3,78,Мирослав ДИМИТРОВ,МСК ЕКСТРИЙМ ЕНДУРО КРУПН,KTM EXC 300,166,9,22,16,22,11,16,20
4,292,Светослав ХРИСТОВ,СК КЪРТАЧИТЕ,ktm 250,158,,11,18,25,15,18,16
5,411,Калоян ТОТЕВ,МСК БАВИЧКА РЕЙСИНГ,KTM EXC 300,157,18,20,20,16,16,20,15
6,666,Цветан ДЕНЕВ,АЛБА ДАМАСЦЕНА МСК,KTM 300 EXC,146,20,15,15,13,25,14,14
7,64,Радослав ТРАЯНОВ,МСК ЕКСТРИЙМ ЕНДУРО КРУПН,Husqvarna TE300,127,13,7,14,18,18,15,18
8,188,Ивелин ИВАНОВ,АЛБА ДАМАСЦЕНА МСК,Гас Гас ЕС 300,80,6,14,9,,8,,8
9,83,Лъчезар ВУНЧЕВ,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,KTM 300,80,11,16,0,20,9,13,
10,79,Павел ИВАНОВ,СК КЪРТАЧИТЕ,Gas Gas,70,16,13,12,15,7,,
11,123,Димитър ЧУКУРОВ,ЕК ЛУДА РАБОТА,Husqvarna TX300,61,,,13,10,12,,13
12,169,Илиян КРЪСТЕВ,НК ЕНДУРО ВИКТОРИ,Гас гас 350,54,,8,,14,20,,
13,305,Данаил КОСТАДИНОВ,МСК ХАРД ЕНДУРО ПЛЕВЕН,KTM300,52,8,10,11,12,5,,0
14,916,Росен ЖЕЛЯЗКОВ,СК БУЛДОК РОКЕТС,KTM 300,50,7,9,0,9,4,11,10
15,51,Марио ЗАРОВ,МСК ХАРД РАЙДЪРС,GAS GAS ec 300,48,,,,11,13,12,12
16,74,Асан ИМАМОВ,ЕНДУРО КЛУБ КОРНИЦА,Gas Gas 300,41,14,12,,,,,
17,31,Христо МИХОВ,МСК ХАРД РАЙДЪРС,KTM 300,20,,,,,,9,11
18,190,Кирил НАЧЕВ,МСК ХАРД ЕНДУРО ПЛЕВЕН,KTM exc300,18,10,,1,,,,
19,765,Максим ИВАНОВ,СК КЪРТАЧИТЕ,KTM 350,18,,,0,0,,,
20,176,Пламен ЯНКОВ,МСК ЕКС ЕНДУРО КЪРНАРЕ,Beta rr300,17,12,,,,,,
21,69,Михаил МИТОВ,МСК ХАРД РАЙДЪРС,KTM 300 EXC,17,15,,,0,,2,
22,389,Костадин ХРИСТОВ,МСК - SBMOTO РЕЙСИНГ ТИЙМ,KTM,16,,,0,8,7,,0
23,128,Божидар КРЪСТЕВ,ЕНДУРО КЛУБ СЕВТОПОЛИС,KTM EXC 300,15,,,,,,,9
24,911,Тодор КОЧЕШЕВ,ЕНДУРО КЛУБ СЕВТОПОЛИС,Ktm300,10,,,,0,0,4,
25,67,Александър ВЕСКОВ,МОТО ДРУЖИНА БАНСКО,GAS GAS 300,10,,,,0,0,10,0
26,81,Милко МИЛЕВ,ЕК ЛУДА РАБОТА,Beta rr300,8,4,,0,,0,,
27,89,Добрин ДОБРЕВ,АЛБА ДАМАСЦЕНА МСК,Husqvarna T300,6,,,,,,6,
28,777,Антон АНТОНОВ,МСК - SBMOTO РЕЙСИНГ ТИЙМ,Husqvarna TE300 Pr,5,,5,,,,,0
29,241,Веселин МИТЕВ,ДЖИ АР СИ МОТОРСПОРТ 2020,RIEJU MR 300 Pro,3,,,,,,3,
30,727,Ивайло ПЕТРОВ,МСК ХАРД РАЙДЪРС,KTM 300 EXC,3,,3,0,0,0,,
31,905,Цветелин КОСТАДИНОВ,НК ЕНДУРО ВИКТОРИ,Ktm exc 350,2,,2,0,0,0,,0
32,115,Ивайло ЙОРДАНОВ,МСК ХАРД РАЙДЪРС,GasGas 300,1,,1,0,0,,,
33,227,Венелин ВИДЕНОВ,МСК ХАРД РАЙДЪРС,Husqvarna TE 300,0,,,0,,,,0
34,233,Мариян ТИНЧЕВ,МСК ХАРД ЕНДУРО ПЛЕВЕН,,0,,,0,,,,
35,179,Владимир ВЪЛЧЕВ,СК КЪРТАЧИТЕ,KTM 300 EXC,0,,,,0,0,0,0
36,153,Станислав СТОЯНОВ,ЕК ЛУДА РАБОТА,KTM 300 EXC,0,,,0,0,,,0
37,208,Костадин ТОШЕВ,ЕК ГОЦЕ ДЕЛЧЕВ,HUSQVARNA,0,,,0,,,,
38,165,Лъчезар БЛИЗНАКОВ,ЕНДУРО КЛУБ КОРНИЦА,KTM 450 EXC,0,,,,,,0,
39,33,Георги СИНЕВ,ЕНДУРО КЛУБ СЕВТОПОЛИС,Sherco 300,0,,0,,,,,
40,25,Бижо БИЖЕВ,МСК ХАРД РАЙДЪРС,GAS GAS EC300,0,,,0,,,,
41,239,Смилен КАБАКЧИЕВ,СК ЕКСТРИЙМ РЕЙСИНГ,KTM 300,0,,,,,,,0
42,174,Павел МИХАЙЛОВ,НК ЕНДУРО ВИКТОРИ,Ktm 300,0,,,0,,0,,
